data_dia,num_internacoes
2015-10-09,308
2015-10-10,308
2015-10-11,249
2015-10-12,239
2015-10-13,419
2015-10-14,439
2015-10-15,428
2015-10-16,455
2015-10-17,298
2015-10-18,248
2015-10-19,468
2015-10-20,316
2015-10-21,419
2015-10-22,416
2015-10-23,436
2015-10-24,327
2015-10-25,247
2015-10-26,486
2015-10-27,408
2015-10-28,434
2015-10-29,444
2015-10-30,247
2015-10-31,197
2015-11-01,319
2015-11-02,347
2015-11-03,433
2015-11-04,338
2015-11-05,443
2015-11-06,433
2015-11-07,317
2015-11-08,326
2015-11-09,453
2015-11-10,416
2015-11-11,481
2015-11-12,325
2015-11-13,308
2015-11-14,237
2015-11-15,275
2015-11-16,628
2015-11-17,375
2015-11-18,519
2015-11-19,392
2015-11-20,267
2015-11-21,306
2015-11-22,280
2015-11-23,384
2015-11-24,429
2015-11-25,421
2015-11-26,330
2015-11-27,270
2015-11-28,243
2015-11-29,161
2015-11-30,317
2015-12-01,307
2015-12-02,326
2015-12-03,336
2015-12-04,252
2015-12-05,250
2015-12-06,230
2015-12-07,296
2015-12-08,270
2015-12-09,391
2015-12-10,377
2015-12-11,235
2015-12-12,180
2015-12-13,254
2015-12-14,268
2015-12-15,279
2015-12-16,198
2015-12-17,306
2015-12-18,311
2015-12-19,221
2015-12-20,215
2015-12-21,301
2015-12-22,183
2015-12-23,323
2015-12-24,298
2015-12-25,290
2015-12-26,211
2015-12-27,227
2015-12-28,226
2015-12-29,235
2015-12-30,343
2015-12-31,216
2016-01-01,279
2016-01-02,225
2016-01-03,351
2016-01-04,305
2016-01-05,333
2016-01-06,171
2016-01-07,261
2016-01-08,261
2016-01-09,207
2016-01-10,207
2016-01-11,252
2016-01-12,216
2016-01-13,180
2016-01-14,333
2016-01-15,306
2016-01-16,153
2016-01-17,225
2016-01-18,261
2016-01-19,216
2016-01-20,135
2016-01-21,189
2016-01-22,99
2016-01-23,171
2016-01-24,189
2016-01-25,306
2016-01-26,306
2016-01-27,234
2016-01-28,252
2016-01-29,234
2016-01-30,180
2016-01-31,135
2016-02-01,288
2016-02-02,260
2016-02-03,396
2016-02-04,252
2016-02-05,288
2016-02-06,162
2016-02-07,180
2016-02-08,207
2016-02-09,180
2016-02-10,369
2016-02-11,333
2016-02-12,306
2016-02-13,207
2016-02-14,243
2016-02-15,297
2016-02-16,333
2016-02-17,270
2016-02-18,360
2016-02-19,342
2016-02-20,297
2016-02-21,270
2016-02-22,252
2016-02-23,243
2016-02-24,279
2016-02-25,414
2016-02-26,342
2016-02-27,306
2016-02-28,270
2016-02-29,369
2016-03-01,333
2016-03-02,324
2016-03-03,405
2016-03-04,288
2016-03-05,198
2016-03-06,279
2016-03-07,423
2016-03-08,270
2016-03-09,315
2016-03-10,405
2016-03-11,369
2016-03-12,270
2016-03-13,288
2016-03-14,306
2016-03-15,342
2016-03-16,333
2016-03-17,351
2016-03-18,342
2016-03-19,306
2016-03-20,315
2016-03-21,387
2016-03-22,351
2016-03-23,378
