objectid,data,estação,estacao_nome,poluente,classificação,iqar,codnum
59538,2017/02/04 03:00:00+00,SC,São Cristóvão,O3,Regular,66,7
59539,2017/02/04 03:00:00+00,SP,Tijuca,O3,Regular,78,8
59540,2017/02/04 03:00:00+00,IR,Irajá,O3,Regular,87,5
59541,2017/02/04 03:00:00+00,BG,Bangu,O3,Regular,69,2
59542,2017/02/04 03:00:00+00,CG,Campo Grande,O3,Regular,66,4
59543,2017/02/04 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,79,6
59544,2017/02/04 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Boa,47,
59545,2017/02/05 03:00:00+00,CA,Centro,O3,Regular,51,3
59546,2017/02/05 03:00:00+00,AV,Copacabana,MP10,Boa,50,1
59547,2017/02/05 03:00:00+00,SC,São Cristóvão,O3,Regular,72,7
59548,2017/02/05 03:00:00+00,SP,Tijuca,O3,Regular,66,8
59549,2017/02/05 03:00:00+00,IR,Irajá,O3,Regular,93,5
59550,2017/02/05 03:00:00+00,BG,Bangu,O3,Regular,88,2
59551,2017/02/05 03:00:00+00,CG,Campo Grande,O3,Regular,77,4
59552,2017/02/05 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,83,6
59553,2017/02/05 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,52,
59554,2017/02/06 03:00:00+00,CA,Centro,O3,Boa,47,3
59555,2017/02/06 03:00:00+00,AV,Copacabana,MP10,Boa,49,1
59556,2017/02/06 03:00:00+00,SC,São Cristóvão,O3,Regular,81,7
59557,2017/02/06 03:00:00+00,SP,Tijuca,O3,Regular,59,8
59558,2017/02/06 03:00:00+00,IR,Irajá,O3,Regular,72,5
59559,2017/02/06 03:00:00+00,BG,Bangu,O3,Regular,69,2
59560,2017/02/06 03:00:00+00,CG,Campo Grande,O3,Regular,58,4
59561,2017/02/06 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,62,6
59562,2017/02/06 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,51,
59563,2017/02/07 03:00:00+00,CA,Centro,O3,Boa,33,3
59564,2017/02/07 03:00:00+00,AV,Copacabana,MP10,Regular,53,1
59565,2017/02/07 03:00:00+00,SC,São Cristóvão,O3,Regular,58,7
59566,2017/02/07 03:00:00+00,SP,Tijuca,O3,Regular,54,8
59567,2017/02/07 03:00:00+00,IR,Irajá,NO2,Boa,32,5
59568,2017/02/07 03:00:00+00,BG,Bangu,,Indisponível,,2
59569,2017/02/07 03:00:00+00,CG,Campo Grande,O3,Boa,47,4
59570,2017/02/07 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,60,6
59571,2017/02/07 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,54,
